,cell line,test,material,source,organism,cell type,morphology,tissue,disease,time (hr),concentration (ug/ml),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,Valance_electron,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,CrippenClogP,chi0v,chi1v,chi2v,hallKierAlpha,kappa1,norm_v,canc_v,Fitness
0,Hepatocytes,WST-1,TiO2,original,mouse,Animal,epithelial,liver,Normal,48,19.0,20.0,-17.6,5.369127517,2.806666667,-0.93,1.4,16,79.865,2,0,0,-0.2401,2.878049394,1.683250823,0.0,0.314285714,3.314285714,67.68940190504631,52.09725112291591,15.592150782130403
1,Hepatocytes,CellTiterBlue,Pt,original,mouse,Animal,epithelial,liver,Normal,6,35.0,92.05,-9.51,0.0,2.28,1.188,1.35,10,195.078,0,0,0,-0.0025,2.588435821,0.0,0.0,0.688311688,1.688311688,71.8324300108184,59.101818912829394,12.730611097989005
2,Hepatocytes,Live/Dead,SiO2,original,mouse,Animal,epithelial,liver,Normal,4,17.8,92.05,-19.285,7.407407407,2.926666667,-1.2,1.1,16,60.084,2,0,0,-0.6184,2.316496581,1.224744871,0.0,-0.183116883,2.816883117,73.0438413990886,61.06068064105827,11.983160758030337
3,Hepatocytes,WST-1,Ag,original,mouse,Animal,epithelial,liver,Normal,48,21.87,118.935,-36.25,0.0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0.0,0.0,0.74025974,1.74025974,62.22800777630867,50.702241501493305,11.525766274815368
4,Hepatocytes,Live/Dead,Au,original,mouse,Animal,epithelial,liver,Normal,48,160.0,34.64,-19.25,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,43.29006555850827,31.865476696712676,11.424588861795591
5,Hepatocytes,CellTiterBlue,Pt,original,mouse,Animal,epithelial,liver,Normal,6,35.0,92.05,-19.285,0.0,2.28,1.188,1.35,10,195.078,0,0,0,-0.0025,2.588435821,0.0,0.0,0.688311688,1.688311688,65.11551783516381,53.739770398130986,11.375747437032828
6,Hepatocytes,CellTiterBlue,SiO2,original,mouse,Animal,epithelial,liver,Normal,6,15.625,19.1,-16.2,7.407407407,2.926666667,-1.2,1.1,16,60.084,2,0,0,-0.6184,2.316496581,1.224744871,0.0,-0.183116883,2.816883117,66.19716180826947,55.25275687703682,10.944404931232647
7,Hepatocytes,Live/Dead,Ag,original,mouse,Animal,epithelial,liver,Normal,48,25.0,228.3,-9.83,0.0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0.0,0.0,0.74025974,1.74025974,48.485525879571185,37.58679629211057,10.898729587460615
8,Hepatocytes,Live/Dead,TiO2,original,mouse,Animal,epithelial,liver,Normal,24,31.2,145.45,-10.85,5.369127517,2.806666667,-0.93,1.4,16,79.865,2,0,0,-0.2401,2.878049394,1.683250823,0.0,0.314285714,3.314285714,69.54390024615486,59.373168142123696,10.170732104031167
9,Hepatocytes,Live/Dead,SiO2,original,mouse,Animal,epithelial,liver,Normal,24,17.8,92.05,-19.285,7.407407407,2.926666667,-1.2,1.1,16,60.084,2,0,0,-0.6184,2.316496581,1.224744871,0.0,-0.183116883,2.816883117,71.48183934288808,61.35811003662227,10.123729306265808
10,Hepatocytes,Live/Dead,Au,original,mouse,Animal,epithelial,liver,Normal,4,43.75,118.935,-9.18,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,81.04877401645436,71.48363110804104,9.565142908413321
11,Hepatocytes,Live/Dead,CuO,original,mouse,Animal,epithelial,liver,Normal,48,17.8,375.4,-14.25,2.298850575,2.67,0.337,1.35,17,79.545,1,0,0,-0.1213,1.651411411,0.507519219,0.0,0.319480519,2.319480519,78.31319259269118,68.8276117362416,9.485580856449587
12,Hepatocytes,WST-1,TiO2,original,mouse,Animal,epithelial,liver,Normal,24,17.8,578.27,-32.5,5.369127517,2.806666667,-0.93,1.4,16,79.865,2,0,0,-0.2401,2.878049394,1.683250823,0.0,0.314285714,3.314285714,79.53311963507242,70.45873795850903,9.074381676563391
13,Hepatocytes,CytoTox-Glo,Al2O3,original,mouse,Animal,epithelial,liver,Normal,2,17.8,75.125,-17.92,4.444444444,2.708,-1.663,1.25,24,101.961,3,0,0,-1.118,4.688846487,0.0,0.0,0.944935065,162.8037375,88.54716176289534,79.63741981215676,8.909741950738578
14,Hepatocytes,CVS,Au,original,mouse,Animal,epithelial,liver,Normal,9,36.0,93.15,-25.165,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,76.3822002346734,67.5905035918897,8.791696642783705
15,Hepatocytes,LDH,Ag,original,mouse,Animal,epithelial,liver,Normal,24,30.6,114.0,-19.285,0.0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0.0,0.0,0.74025974,1.74025974,72.71614137668533,64.06816407316872,8.647977303516612
16,Hepatocytes,MTS,Au,original,mouse,Animal,epithelial,liver,Normal,48,16.0,145.45,-18.745,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,78.43244686402087,70.10111645926335,8.331330404757523
17,Hepatocytes,CellTiterBlue,SiO2,original,mouse,Animal,epithelial,liver,Normal,2,15.6,39.33,-16.2,7.407407407,2.926666667,-1.2,1.1,16,60.084,2,0,0,-0.6184,2.316496581,1.224744871,0.0,-0.183116883,2.816883117,81.51797560680605,73.27478022264243,8.243195384163613
18,Hepatocytes,LDH,CuO,original,mouse,Animal,epithelial,liver,Normal,48,31.2,145.45,-10.85,2.298850575,2.67,0.337,1.35,17,79.545,1,0,0,-0.1213,1.651411411,0.507519219,0.0,0.319480519,2.319480519,84.84942981429231,76.61290817828562,8.236521636006685
19,Hepatocytes,Live/Dead,SiO2,original,mouse,Animal,epithelial,liver,Normal,4,17.8,92.05,-21.77,7.407407407,2.926666667,-1.2,1.1,16,60.084,2,0,0,-0.6184,2.316496581,1.224744871,0.0,-0.183116883,2.816883117,74.14404971636039,66.03650700617234,8.107542710188042
20,Hepatocytes,LDH,Fe3O4,original,mouse,Animal,epithelial,liver,Normal,48,31.6,175.0,7.965,2.93255132,2.75,-0.239,1.4,48,231.531,4,0,2,-0.4323,6.006207083,2.975595179,0.708333333,0.918441558,10.82035581,74.94440184884402,66.84636022953471,8.098041619309313
21,Hepatocytes,WST-1,Au,original,mouse,Animal,epithelial,liver,Normal,72,35.0,228.3,-36.74,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,48.62699937695657,40.8116992942936,7.815300082662972
22,Hepatocytes,CVS,Ag,original,mouse,Animal,epithelial,liver,Normal,48,12.5,194.2,-20.75,0.0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0.0,0.0,0.74025974,1.74025974,70.93735678768464,63.12299123362127,7.8143655540633645
23,Hepatocytes,WST-1,SiO2,original,mouse,Animal,epithelial,liver,Normal,4,25.0,90.0,-20.7,7.407407407,2.926666667,-1.2,1.1,16,60.084,2,0,0,-0.6184,2.316496581,1.224744871,0.0,-0.183116883,2.816883117,71.62128810471197,63.84294659176761,7.778341512944358
24,Hepatocytes,MTS,Au,original,mouse,Animal,epithelial,liver,Normal,48,16.0,199.95,-18.745,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,78.06488120189178,70.31768046501126,7.747200736880515
25,Hepatocytes,LDH,CuO,original,mouse,Animal,epithelial,liver,Normal,6,31.2,145.45,-10.85,2.298850575,2.67,0.337,1.35,17,79.545,1,0,0,-0.1213,1.651411411,0.507519219,0.0,0.319480519,2.319480519,93.27905236932581,85.58120568355723,7.697846685768582
26,Hepatocytes,NRU,C,original,mouse,Animal,epithelial,liver,Normal,48,30.6,20.12,-16.2,0.0,2.55,0.0,0.7,4,12.011,0,0,0,0.08129,0.5,0.0,0.0,0.0,0.0,58.49287047614301,50.80645652467198,7.686413951471032
27,Hepatocytes,MTS,Au,original,mouse,Animal,epithelial,liver,Normal,48,31.2,150.0,-38.62,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,48.50202492649705,40.82914166694435,7.672883259552698
28,Hepatocytes,WST-1,Ca(HCO3)2,original,mouse,Animal,epithelial,liver,Normal,6,15.6,18.3,-20.165,2.193,2.678333,-2.866,1.8,48,162.11,6,2,0,-2.6054,6.4428963,1.263710176,0.0,-0.20025974,15.91523464,84.96971267152793,77.32841856790886,7.6412941036190745
29,Hepatocytes,MTT,SiO2,original,mouse,Animal,epithelial,liver,Normal,20,20.0,81.8,-33.55,7.407407407,2.926666667,-1.2,1.1,16,60.084,2,0,0,-0.6184,2.316496581,1.224744871,0.0,-0.183116883,2.816883117,87.48157752025394,79.89242285575556,7.5891546644983805
30,Hepatocytes,CellTiterBlue,Pt,original,mouse,Animal,epithelial,liver,Normal,6,35.0,92.05,-36.3,0.0,2.28,1.188,1.35,10,195.078,0,0,0,-0.0025,2.588435821,0.0,0.0,0.688311688,1.688311688,66.5397177166769,58.96711393857926,7.572603778097644
