,cell line,test,material,source,organism,cell type,morphology,tissue,disease,time (hr),concentration (ug/ml),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,Valance_electron,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,CrippenClogP,chi0v,chi1v,chi2v,hallKierAlpha,kappa1,norm_v,canc_v,Fitness
0,Hepatocytes,WST-1,TiO2,original,mouse,Animal,epithelial,liver,Normal,48,19.0,20.0,-17.6,5.369127517,2.806666667,-0.93,1.4,16,79.865,2,0,0,-0.2401,2.878049394,1.683250823,0.0,0.314285714,3.314285714,67.68940190504631,52.09725112291591,15.592150782130403
1,Hepatocytes,CVS,Ag,original,mouse,Animal,epithelial,liver,Normal,48,20.0,91.15,-34.1,0.0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0.0,0.0,0.74025974,1.74025974,57.96988640594294,44.29875266669958,13.67113373924336
2,Hepatocytes,Live/Dead,Ag,original,mouse,Animal,epithelial,liver,Normal,4,36.0,91.15,-10.045,0.0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0.0,0.0,0.74025974,1.74025974,64.869730825131,51.402136961845144,13.467593863285856
3,Hepatocytes,CellTiterBlue,Ag,original,mouse,Animal,epithelial,liver,Normal,48,20.0,61.46,-34.1,0.0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0.0,0.0,0.74025974,1.74025974,60.361636762223455,46.977791222811476,13.383845539411979
4,Hepatocytes,CellTiterGlo,C,original,mouse,Animal,epithelial,liver,Normal,48,19.0,20.12,-16.2,0.0,2.55,0.0,0.7,4,12.011,0,0,0,0.08129,0.5,0.0,0.0,0.0,0.0,62.03781784283947,49.99754346376823,12.040274379071242
5,Hepatocytes,MTS,TiO2,original,mouse,Animal,epithelial,liver,Normal,48,16.0,199.95,-16.95,5.369127517,2.806666667,-0.93,1.4,16,79.865,2,0,0,-0.2401,2.878049394,1.683250823,0.0,0.314285714,3.314285714,75.70747025545168,64.34520951604566,11.362260739406025
6,Hepatocytes,MTS,Bi2O3,original,mouse,Animal,epithelial,liver,Normal,48,30.6,158.75,-2.49,2.564102564,2.872,0.308,1.6,28,465.957,3,0,2,-1.0676,9.07331162,6.408327915,5.133333333,1.326233766,6.326233766,56.53694492342924,45.279124141280604,11.257820782148634
7,Hepatocytes,WST-1,TiO2,original,mouse,Animal,epithelial,liver,Normal,24,19.0,20.0,-17.6,5.369127517,2.806666667,-0.93,1.4,16,79.865,2,0,0,-0.2401,2.878049394,1.683250823,0.0,0.314285714,3.314285714,78.53862343526843,68.69437990544043,9.844243529828006
8,Hepatocytes,CVS,ZnO,original,mouse,Animal,epithelial,liver,Normal,72,256.0,93.65,25.2,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0.0,0.423376623,2.423376623,30.556149304389074,20.74626765561643,9.809881648772645
9,Hepatocytes,CVS,Ag,original,mouse,Animal,epithelial,liver,Normal,20,30.6,91.15,-19.285,0.0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0.0,0.0,0.74025974,1.74025974,70.01687986572179,60.568213162353366,9.448666703368424
