,cell line,test,material,source,organism,cell type,morphology,tissue,disease,time (hr),concentration (ug/ml),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,Valance_electron,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,CrippenClogP,chi0v,chi1v,chi2v,hallKierAlpha,kappa1,norm_v,canc_v,Fitness
0,Hepatocytes,WST-1,Pt,original,mouse,Animal,epithelial,liver,Normal,48,19.0,20.0,-17.6,0.0,2.28,1.188,1.35,10,195.078,0,0,0,-0.0025,2.588435821,0.0,0.0,0.688311688,1.688311688,46.56714018489687,32.409137590259235,14.158002594637637
1,Hepatocytes,MTS,Au,original,mouse,Animal,epithelial,liver,Normal,6,36.0,165.3,-9.72,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,80.75291822040614,68.18643870078154,12.566479519624608
2,Hepatocytes,CellTiterBlue,ZrO2,original,mouse,Animal,epithelial,liver,Normal,48,20.0,267.0,-31.8,4.651162791,2.736666667,-1.45,1.55,16,123.222,2,0,0,-0.2401,3.774536472,2.415229458,0.0,0.483116883,3.483116883,64.80493752564006,53.68063448772715,11.12430303791291
3,Hepatocytes,CCK-8,SiO2,original,mouse,Animal,epithelial,liver,Normal,6,36.0,165.3,-16.5,7.407407407,2.926666667,-1.2,1.1,16,60.084,2,0,0,-0.6184,2.316496581,1.224744871,0.0,-0.183116883,2.816883117,82.05586428848034,71.07134472332223,10.98451956515811
4,Hepatocytes,Live/Dead,Al2O3,original,mouse,Animal,epithelial,liver,Normal,48,30.0,267.0,-36.2,4.444444444,2.708,-1.663,1.25,24,101.961,3,0,0,-1.118,4.688846487,0.0,0.0,0.944935065,162.8037375,56.19022032661221,45.80666272942548,10.38355759718673
5,Hepatocytes,AlamarBlue,TiO2,original,mouse,Animal,epithelial,liver,Normal,48,36.0,91.15,20.55,5.369127517,2.806666667,-0.93,1.4,16,79.865,2,0,0,-0.2401,2.878049394,1.683250823,0.0,0.314285714,3.314285714,55.18015425300232,44.973686563854244,10.206467689148077
6,Hepatocytes,CVS,Ag,original,mouse,Animal,epithelial,liver,Normal,48,40.0,109.25,12.8,0.0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0.0,0.0,0.74025974,1.74025974,51.43835772255521,41.41082684587208,10.02753087668313
7,Hepatocytes,CytoTox-Glo,Ni,original,mouse,Animal,epithelial,liver,Normal,48,28.9,214.25,8.29,0.0,1.91,-0.25,1.35,10,58.693,0,0,0,-0.0025,1.303840481,0.0,0.0,0.493506494,1.493506494,63.336611921584016,53.68421532642873,9.652396595155288
8,Hepatocytes,CellTiterBlue,Pt,original,mouse,Animal,epithelial,liver,Normal,6,200.0,92.05,-9.83,0.0,2.28,1.188,1.35,10,195.078,0,0,0,-0.0025,2.588435821,0.0,0.0,0.688311688,1.688311688,68.91093527912817,59.386413274620764,9.524522004507403
9,Hepatocytes,LDH,TiO2,original,mouse,Animal,epithelial,liver,Normal,48,28.9,92.05,-22.73,5.369127517,2.806666667,-0.93,1.4,16,79.865,2,0,0,-0.2401,2.878049394,1.683250823,0.0,0.314285714,3.314285714,65.66762374428886,56.47619663301974,9.191427111269121
10,Hepatocytes,CCK-8,SiO2,original,mouse,Animal,epithelial,liver,Normal,9,31.25,30.09,-16.5,7.407407407,2.926666667,-1.2,1.1,16,60.084,2,0,0,-0.6184,2.316496581,1.224744871,0.0,-0.183116883,2.816883117,80.08897499580485,71.2350095469115,8.853965448893348
11,Hepatocytes,LDH,Bi2O3,original,mouse,Animal,epithelial,liver,Normal,24,31.2,90.0,-8.24,2.564102564,2.872,0.308,1.6,28,465.957,3,0,2,-1.0676,9.07331162,6.408327915,5.133333333,1.326233766,6.326233766,86.6755309005789,77.85559497182993,8.819935928748976
12,Hepatocytes,MTS,Ag,original,mouse,Animal,epithelial,liver,Normal,6,28.9,100.33,-8.395,0.0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0.0,0.0,0.74025974,1.74025974,70.89986688972726,62.17472854410594,8.725138345621325
13,Hepatocytes,Live/Dead,SiO2,original,mouse,Animal,epithelial,liver,Normal,6,13.0,141.0,-19.285,7.407407407,2.926666667,-1.2,1.1,16,60.084,2,0,0,-0.6184,2.316496581,1.224744871,0.0,-0.183116883,2.816883117,84.22868304745465,75.79418659749244,8.43449644996221
14,Hepatocytes,CytoTox-Glo,ZrO2,original,mouse,Animal,epithelial,liver,Normal,48,20.0,267.0,-19.95,4.651162791,2.736666667,-1.45,1.55,16,123.222,2,0,0,-0.2401,3.774536472,2.415229458,0.0,0.483116883,3.483116883,64.63374371856347,56.53856644513977,8.095177273423694
15,Hepatocytes,Live/Dead,Pt,original,mouse,Animal,epithelial,liver,Normal,6,50.0,145.45,-10.85,0.0,2.28,1.188,1.35,10,195.078,0,0,0,-0.0025,2.588435821,0.0,0.0,0.688311688,1.688311688,76.69682412306065,68.654952488096,8.04187163496465
16,Hepatocytes,LDH,Bi2O3,original,mouse,Animal,epithelial,liver,Normal,12,72.0,158.75,-2.49,2.564102564,2.872,0.308,1.6,28,465.957,3,0,2,-1.0676,9.07331162,6.408327915,5.133333333,1.326233766,6.326233766,71.27852830310647,63.29245448743071,7.986073815675759
