,cell line,test,material,source,organism,cell type,morphology,tissue,disease,time (hr),concentration (ug/ml),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,Valance_electron,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,CrippenClogP,chi0v,chi1v,chi2v,hallKierAlpha,kappa1,norm_v,canc_v,Fitness
0,Hepatocytes,MTS,Ag,original,mouse,Animal,epithelial,liver,Normal,48,18.0,124.5,-31.8,0.0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0.0,0.0,0.74025974,1.74025974,62.58440741386121,47.17795267244184,15.406454741419367
1,Hepatocytes,CellTiterBlue,TiO2,original,mouse,Animal,epithelial,liver,Normal,48,20.0,124.5,-16.95,5.369127517,2.806666667,-0.93,1.4,16,79.865,2,0,0,-0.2401,2.878049394,1.683250823,0.0,0.314285714,3.314285714,75.37965821859277,60.58581493001163,14.793843288581137
2,Hepatocytes,CytoTox-Glo,Ag,original,mouse,Animal,epithelial,liver,Normal,48,36.0,108.8,-4.065,0.0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0.0,0.0,0.74025974,1.74025974,48.1957018951808,34.45969517688546,13.736006718295336
3,Hepatocytes,Live/Dead,Pt,original,mouse,Animal,epithelial,liver,Normal,48,31.2,114.0,-33.33,0.0,2.28,1.188,1.35,10,195.078,0,0,0,-0.0025,2.588435821,0.0,0.0,0.688311688,1.688311688,34.061454539453095,21.907685591412488,12.153768948040607
4,Hepatocytes,AlamarBlue,TiO2,original,mouse,Animal,epithelial,liver,Normal,48,20.0,124.5,-16.95,5.369127517,2.806666667,-0.93,1.4,16,79.865,2,0,0,-0.2401,2.878049394,1.683250823,0.0,0.314285714,3.314285714,81.29570007458261,69.57857980203168,11.717120272550929
5,Hepatocytes,CVS,Pt,original,mouse,Animal,epithelial,liver,Normal,48,31.2,114.0,-38.1,0.0,2.28,1.188,1.35,10,195.078,0,0,0,-0.0025,2.588435821,0.0,0.0,0.688311688,1.688311688,35.37556859329587,24.895911055773833,10.479657537522034
6,Hepatocytes,Live/Dead,Au,original,mouse,Animal,epithelial,liver,Normal,48,32.0,92.05,-7.11,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,30.29401160808832,19.824102251346243,10.469909356742075
7,Hepatocytes,WST-1,TiO2,original,mouse,Animal,epithelial,liver,Normal,72,20.0,63.6,8.29,5.369127517,2.806666667,-0.93,1.4,16,79.865,2,0,0,-0.2401,2.878049394,1.683250823,0.0,0.314285714,3.314285714,64.18044326620648,53.926837550161565,10.253605716044916
8,Hepatocytes,CellTiterBlue,Au,original,mouse,Animal,epithelial,liver,Normal,24,30.6,228.3,-10.48,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,61.11860327341459,51.30948645147601,9.80911682193858
9,Hepatocytes,Live/Dead,TiO2,original,mouse,Animal,epithelial,liver,Normal,48,180.0,93.15,34.605,5.369127517,2.806666667,-0.93,1.4,16,79.865,2,0,0,-0.2401,2.878049394,1.683250823,0.0,0.314285714,3.314285714,51.78223016607283,42.29064974715042,9.49158041892241
10,Hepatocytes,MTS,Bi2O3,original,mouse,Animal,epithelial,liver,Normal,20,40.0,125.0,-32.66,2.564102564,2.872,0.308,1.6,28,465.957,3,0,2,-1.0676,9.07331162,6.408327915,5.133333333,1.326233766,6.326233766,80.72803578894921,71.244969334977,9.483066453972214
11,Hepatocytes,MTT,C,original,mouse,Animal,epithelial,liver,Normal,6,30.6,153.88,-12.32,0.0,2.55,0.0,0.7,4,12.011,0,0,0,0.08129,0.5,0.0,0.0,0.0,0.0,95.657317213909,86.45125614166008,9.206061072248914
12,Hepatocytes,CellTiterBlue,MgO,original,mouse,Animal,epithelial,liver,Normal,4,150.0,80.0,-18.88,2.325581395,2.375,-2.372,1.5,8,40.304,1,0,0,-0.4996,2.529568634,0.866025404,0.0,0.566233766,2.566233766,64.84596757482879,55.73151082087502,9.114456753953768
13,Hepatocytes,AlamarBlue,ZnO,original,mouse,Animal,epithelial,liver,Normal,48,800.0,70.0,46.65,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0.0,0.423376623,2.423376623,53.0467519580766,44.01304090643061,9.033711051645987
